"WBXF029.Code.or.Value","WBXF029.Value.Description","WBXF029.Count","WBXF029.Cumulative","WBXF029.Skip.to.Item"
"840.8964 to 840.8964","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
