"DX2RATOT.Code.or.Value","DX2RATOT.Value.Description","DX2RATOT.Count","DX2RATOT.Cumulative","DX2RATOT.Skip.to.Item"
"2147.7 to 10669","Range of Values",464,464,NA
".","Missing",21,485,NA
