"RFXT113.Code.or.Value","RFXT113.Value.Description","RFXT113.Count","RFXT113.Cumulative","RFXT113.Skip.to.Item"
"982 to 990","Range of Values",33689,33689,NA
".","Missing",32,33721,NA
