"WTMREP35.Code.or.Value","WTMREP35.Value.Description","WTMREP35.Count","WTMREP35.Cumulative","WTMREP35.Skip.to.Item"
"0 to 253436.57188","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
