"LBCBR11.Code.or.Value","LBCBR11.Value.Description","LBCBR11.Count","LBCBR11.Cumulative","LBCBR11.Skip.to.Item"
"3.536 to 150.9","Range of Values",265,265,NA
".","Missing",0,265,NA
