"MCQ380.Code.or.Value","MCQ380.Value.Description","MCQ380.Count","MCQ380.Cumulative","MCQ380.Skip.to.Item"
"0","Never",981,981,NA
"1","About once",445,1426,NA
"2","Two or three times",279,1705,NA
"3","Nearly every day",84,1789,NA
"4","Several times a day",47,1836,NA
"7","Refused",0,1836,NA
"9","Don't know",4,1840,NA
".","Missing",7930,9770,NA
