"WBXA045.Code.or.Value","WBXA045.Value.Description","WBXA045.Count","WBXA045.Cumulative","WBXA045.Skip.to.Item"
"-17.5159 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
