"PAD645.Code.or.Value","PAD645.Value.Description","PAD645.Count","PAD645.Cumulative","PAD645.Skip.to.Item"
"10 to 660","Range of Values",1426,1426,NA
"7777","Refused",0,1426,NA
"9999","Don't know",4,1430,NA
".","Missing",4426,5856,NA
