"OHD31LAS.Code.or.Value","OHD31LAS.Value.Description","OHD31LAS.Count","OHD31LAS.Cumulative","OHD31LAS.Skip.to.Item"
"0 to 5","Range of Values",1993,1993,NA
"99","Calculation cannot be determined",564,2557,NA
".","Missing",4161,6718,NA
