"AUXRR226.Code.or.Value","AUXRR226.Value.Description","AUXRR226.Count","AUXRR226.Cumulative","AUXRR226.Skip.to.Item"
"-31 to 65","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
