"ARILFTL.Code.or.Value","ARILFTL.Value.Description","ARILFTL.Count","ARILFTL.Cumulative","ARILFTL.Skip.to.Item"
"1","Could not obtain",313,313,NA
".","Missing",4688,5001,NA
