"DSXAA1LD.Code.or.Value","DSXAA1LD.Value.Description","DSXAA1LD.Count","DSXAA1LD.Cumulative","DSXAA1LD.Skip.to.Item"
"0.2 to 0.2","Range of Values",5451,5451,NA
".","Missing",3989,9440,NA
