"MCQ265.Code.or.Value","MCQ265.Value.Description","MCQ265.Count","MCQ265.Cumulative","MCQ265.Skip.to.Item"
"1","Yes",255,255,""
"2","No",1612,1867,"MCQ310"
"7","Refused",0,1867,"MCQ310"
"9","Don't know",95,1962,"MCQ310"
".","Missing",7704,9666,""
