"DXXL3BMD.Code.or.Value","DXXL3BMD.Value.Description","DXXL3BMD.Count","DXXL3BMD.Cumulative","DXXL3BMD.Skip.to.Item"
"0.461 to 2.035","Range of Values",1914,1914,NA
".","Missing",984,2898,NA
