"OHD02LAS.Code.or.Value","OHD02LAS.Value.Description","OHD02LAS.Count","OHD02LAS.Cumulative","OHD02LAS.Skip.to.Item"
"0 to 10","Range of Values",2009,2009,NA
"99","Calculation cannot be determined",505,2514,NA
".","Missing",4204,6718,NA
