"LBDV06LC.Code.or.Value","LBDV06LC.Value.Description","LBDV06LC.Count","LBDV06LC.Cumulative","LBDV06LC.Skip.to.Item"
"0","At or above detection limit",5,5,NA
"1","Below lower detection limit",2691,2696,NA
".","Missing",476,3172,NA
