"DXXPT45Y.Code.or.Value","DXXPT45Y.Value.Description","DXXPT45Y.Count","DXXPT45Y.Cumulative","DXXPT45Y.Skip.to.Item"
"144.6 to 370.8","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
