"DX2LALE.Code.or.Value","DX2LALE.Value.Description","DX2LALE.Count","DX2LALE.Cumulative","DX2LALE.Skip.to.Item"
"1138 to 6113.9","Range of Values",464,464,NA
".","Missing",21,485,NA
