"ARQ021CG.Code.or.Value","ARQ021CG.Value.Description","ARQ021CG.Count","ARQ021CG.Cumulative","ARQ021CG.Skip.to.Item"
"3","stiffness?",20,20,NA
".","Missing",5086,5106,NA
