"DS1ILYCO.Code.or.Value","DS1ILYCO.Value.Description","DS1ILYCO.Count","DS1ILYCO.Cumulative","DS1ILYCO.Skip.to.Item"
"99 to 60000","Range of Values",384,384,NA
".","Missing",5684,6068,NA
