"SPXNFEV6.Code.or.Value","SPXNFEV6.Value.Description","SPXNFEV6.Count","SPXNFEV6.Cumulative","SPXNFEV6.Skip.to.Item"
"592 to 7766","Range of Values",6652,6652,NA
".","Missing",843,7495,NA
