"LBXMCVSI.Code.or.Value","LBXMCVSI.Value.Description","LBXMCVSI.Count","LBXMCVSI.Cumulative","LBXMCVSI.Skip.to.Item"
"35.4 to 114.6","Range of Values",7528,7528,NA
".","Missing",838,8366,NA
