"BIXS100K.Code.or.Value","BIXS100K.Value.Description","BIXS100K.Count","BIXS100K.Cumulative","BIXS100K.Skip.to.Item"
"293.94 to 887.88","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
