"SMQ690A.Code.or.Value","SMQ690A.Value.Description","SMQ690A.Count","SMQ690A.Cumulative","SMQ690A.Skip.to.Item"
"1","Cigarettes",916,916,NA
"77","Refused",0,916,NA
"99","Don't know",0,916,NA
".","Missing",5485,6401,NA
