"WTSAU35.Code.or.Value","WTSAU35.Value.Description","WTSAU35.Count","WTSAU35.Cumulative","WTSAU35.Skip.to.Item"
"0 to 479418.19578","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
