"OHQ490n.Code.or.Value","OHQ490n.Value.Description","OHQ490n.Count","OHQ490n.Cumulative","OHQ490n.Skip.to.Item"
"1","Checked",372,372,NA
"77","Refused",0,372,NA
"99","Don't know",8,380,NA
".","Missing",8467,8847,NA
