"AUDTYR02.Code.or.Value","AUDTYR02.Value.Description","AUDTYR02.Count","AUDTYR02.Cumulative","AUDTYR02.Skip.to.Item"
"0 to 1.59","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
