"TYXP091.Code.or.Value","TYXP091.Value.Description","TYXP091.Count","TYXP091.Cumulative","TYXP091.Skip.to.Item"
"-277 to 137","Range of Values",5570,5570,NA
".","Missing",15,5585,NA
