"MCQ060.Code.or.Value","MCQ060.Value.Description","MCQ060.Count","MCQ060.Cumulative","MCQ060.Skip.to.Item"
"1","Yes",260,260,NA
"2","No",3482,3742,NA
"7","Refused",0,3742,NA
"9","Don't know",9,3751,NA
".","Missing",5894,9645,NA
