"WBXA047.Code.or.Value","WBXA047.Value.Description","WBXA047.Count","WBXA047.Cumulative","WBXA047.Skip.to.Item"
"-49.0356 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
