"DXXPT61X.Code.or.Value","DXXPT61X.Value.Description","DXXPT61X.Count","DXXPT61X.Cumulative","DXXPT61X.Skip.to.Item"
"714.2 to 1251.4","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
