"WHQ080C.Code.or.Value","WHQ080C.Value.Description","WHQ080C.Count","WHQ080C.Cumulative","WHQ080C.Skip.to.Item"
"12","Ate less fat",644,644,NA
".","Missing",5400,6044,NA
