"HCQ160.Code.or.Value","HCQ160.Value.Description","HCQ160.Count","HCQ160.Cumulative","HCQ160.Skip.to.Item"
"1","True",20,20,NA
"2","False",4,24,NA
"7","Refused",0,24,NA
"9","Don't know",7,31,NA
".","Missing",62,93,NA
