"URXANBT.Code.or.Value","URXANBT.Value.Description","URXANBT.Count","URXANBT.Cumulative","URXANBT.Skip.to.Item"
"0.36 to 118","Range of Values",548,548,NA
".","Missing",2431,2979,NA
