"FSQ510.Code.or.Value","FSQ510.Value.Description","FSQ510.Count","FSQ510.Cumulative","FSQ510.Skip.to.Item"
"1 to 10","Range of Values",24,24,NA
"77","Refused",0,24,NA
"99","Don't know",0,24,NA
".","Missing",10098,10122,NA
