"LBXAR1.Code.or.Value","LBXAR1.Value.Description","LBXAR1.Count","LBXAR1.Cumulative","LBXAR1.Skip.to.Item"
"10.5 to 111","Range of Values",4226,4226,NA
".","Missing",1417,5643,NA
