"LB2SLDSI.Code.or.Value","LB2SLDSI.Value.Description","LB2SLDSI.Count","LB2SLDSI.Cumulative","LB2SLDSI.Skip.to.Item"
"57 to 326","Range of Values",544,544,NA
".","Missing",2,546,NA
