"VTQ200H.Code.or.Value","VTQ200H.Value.Description","VTQ200H.Count","VTQ200H.Cumulative","VTQ200H.Skip.to.Item"
"1","Yes",287,287,NA
"2","No",359,646,NA
"7","Refused",0,646,NA
"9","Don't know",2,648,NA
".","Missing",203,851,NA
