"WBXP016.Code.or.Value","WBXP016.Value.Description","WBXP016.Count","WBXP016.Cumulative","WBXP016.Skip.to.Item"
"-170.2174 to 148.2655","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
