"SSCYMIP.Code.or.Value","SSCYMIP.Value.Description","SSCYMIP.Count","SSCYMIP.Cumulative","SSCYMIP.Skip.to.Item"
"0 to 1","Range of Values",4265,4265,NA
".","Missing",0,4265,NA
