"LBXRST.Code.or.Value","LBXRST.Value.Description","LBXRST.Count","LBXRST.Cumulative","LBXRST.Skip.to.Item"
"0.495 to 25.4","Range of Values",6123,6123,NA
".","Missing",1312,7435,NA
