"WTSPP49.Code.or.Value","WTSPP49.Value.Description","WTSPP49.Count","WTSPP49.Cumulative","WTSPP49.Skip.to.Item"
"0 to 838240.72856","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
