"OSQ090i.Code.or.Value","OSQ090i.Value.Description","OSQ090i.Count","OSQ090i.Cumulative","OSQ090i.Skip.to.Item"
"1","Yes",8,8,NA
"2","No",0,8,NA
"7","Refused",0,8,NA
"9","Don't know",0,8,NA
".","Missing",3061,3069,NA
