"LB2SCRSI.Code.or.Value","LB2SCRSI.Value.Description","LB2SCRSI.Count","LB2SCRSI.Cumulative","LB2SCRSI.Skip.to.Item"
"35.36 to 901.68","Range of Values",544,544,NA
".","Missing",2,546,NA
