"DEX6PSFH.Code.or.Value","DEX6PSFH.Value.Description","DEX6PSFH.Count","DEX6PSFH.Cumulative","DEX6PSFH.Skip.to.Item"
"1","Present",9,9,NA
".","Missing",2983,2992,NA
