"ALD250.Code.or.Value","ALD250.Value.Description","ALD250.Count","ALD250.Cumulative","ALD250.Skip.to.Item"
"1 to 91","Range of Values",1095,1095,NA
"0","Never",3776,4871,NA
"77777","Refused",7,4878,NA
"99999","Don't know",1,4879,NA
".","Missing",5086,9965,NA
