"LB2STP.Code.or.Value","LB2STP.Value.Description","LB2STP.Count","LB2STP.Cumulative","LB2STP.Skip.to.Item"
"5.6 to 9.8","Range of Values",544,544,NA
".","Missing",2,546,NA
