"LB2LYCSI.Code.or.Value","LB2LYCSI.Value.Description","LB2LYCSI.Count","LB2LYCSI.Cumulative","LB2LYCSI.Skip.to.Item"
"0.009 to 1.585","Range of Values",545,545,NA
".","Missing",6,551,NA
