"WTSSE2Y.Code.or.Value","WTSSE2Y.Value.Description","WTSSE2Y.Count","WTSSE2Y.Cumulative","WTSSE2Y.Skip.to.Item"
"8124.965457 to 135618.55418","Range of Values",1881,1881,NA
"0","No lab specimen",0,1881,NA
".","Missing",0,1881,NA
