"BIXC100K.Code.or.Value","BIXC100K.Value.Description","BIXC100K.Count","BIXC100K.Cumulative","BIXC100K.Skip.to.Item"
"33.35 to 135.78","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
