"RFXC076.Code.or.Value","RFXC076.Value.Description","RFXC076.Count","RFXC076.Cumulative","RFXC076.Skip.to.Item"
"-7.553 to 5.198","Range of Values",33696,33696,NA
".","Missing",25,33721,NA
