"RFXC150.Code.or.Value","RFXC150.Value.Description","RFXC150.Count","RFXC150.Cumulative","RFXC150.Skip.to.Item"
"-6.653 to 6.747","Range of Values",33672,33672,NA
".","Missing",49,33721,NA
