"URDOPPLC.Code.or.Value","URDOPPLC.Value.Description","URDOPPLC.Count","URDOPPLC.Cumulative","URDOPPLC.Skip.to.Item"
"0","At or above the detection limit",630,630,NA
"1","Below lower detection limit",2119,2749,NA
".","Missing",70,2819,NA
