"PFD069pQ.Code.or.Value","PFD069pQ.Value.Description","PFD069pQ.Count","PFD069pQ.Cumulative","PFD069pQ.Skip.to.Item"
"1 to 86","Range of Values",183,183,NA
"77777","Refused",0,183,NA
"99999","Don't know",0,183,NA
".","Missing",9310,9493,NA
