"WBXF081.Code.or.Value","WBXF081.Value.Description","WBXF081.Count","WBXF081.Cumulative","WBXF081.Skip.to.Item"
"3775.4973 to 3775.4973","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
