"DRXIFOLA.Code.or.Value","DRXIFOLA.Value.Description","DRXIFOLA.Count","DRXIFOLA.Cumulative","DRXIFOLA.Skip.to.Item"
"0 to 2667","Range of Values",141931,141931,NA
".","Missing",1073,143004,NA
