"HOD060.Code.or.Value","HOD060.Value.Description","HOD060.Count","HOD060.Cumulative","HOD060.Skip.to.Item"
"1","Less than one year",1590,1590,NA
"2","1-2 years",1864,3454,NA
"3","3-5 years",2118,5572,NA
"4","6-10 years",1938,7510,NA
"5","More than 10 years",2925,10435,NA
"77","Refused",18,10453,NA
"99","Don't know",16,10469,NA
".","Missing",68,10537,NA
