"OHX30LAA.Code.or.Value","OHX30LAA.Value.Description","OHX30LAA.Count","OHX30LAA.Cumulative","OHX30LAA.Skip.to.Item"
"0 to 10","Range of Values",2359,2359,NA
"99","Cannot be assessed",1656,4015,NA
".","Missing",654,4669,NA
