"URXUMA.Code.or.Value","URXUMA.Value.Description","URXUMA.Count","URXUMA.Cumulative","URXUMA.Skip.to.Item"
"0.21 to 14040","Range of Values",7632,7632,NA
".","Missing",304,7936,NA
