"WBXF067.Code.or.Value","WBXF067.Value.Description","WBXF067.Count","WBXF067.Cumulative","WBXF067.Skip.to.Item"
"2519.8421 to 2519.8421","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
