"SSCA153.Code.or.Value","SSCA153.Value.Description","SSCA153.Count","SSCA153.Cumulative","SSCA153.Skip.to.Item"
"95.83 to 704915.87","Range of Values",2391,2391,NA
".","Missing",0,2391,NA
