"WTSAU10.Code.or.Value","WTSAU10.Value.Description","WTSAU10.Count","WTSAU10.Cumulative","WTSAU10.Skip.to.Item"
"0 to 481866.19801","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
