"URXUMA2.Code.or.Value","URXUMA2.Value.Description","URXUMA2.Count","URXUMA2.Cumulative","URXUMA2.Skip.to.Item"
"0.21 to 3730","Range of Values",7361,7361,NA
".","Missing",1230,8591,NA
