"OPDDD125.Code.or.Value","OPDDD125.Value.Description","OPDDD125.Count","OPDDD125.Cumulative","OPDDD125.Skip.to.Item"
"0","No",2870,2870,NA
"1","Yes",208,3078,NA
".","Missing",785,3863,NA
